Scenario,MonthIndex,ChargerType,Power_kW,CapEx,MonthlyRevenue,MonthlyOPEX,MonthlyProfit,SessionsPerMonth,ElectricityCost,LandLeaseCost,MaintenanceCost,StaffCost,CRMSoftwareCost,MarketingCost,CumulativeProfit
Pessimistic,1,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-45680
Pessimistic,1,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-76440
Pessimistic,1,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-138000
Pessimistic,2,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-91360
Pessimistic,2,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-152880
Pessimistic,2,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-276000
Pessimistic,3,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-137040
Pessimistic,3,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-229320
Pessimistic,3,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-414000
Pessimistic,4,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-182720
Pessimistic,4,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-305760
Pessimistic,4,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-552000
Pessimistic,5,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-228400
Pessimistic,5,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-382200
Pessimistic,5,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-690000
Pessimistic,6,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-274080
Pessimistic,6,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-458640
Pessimistic,6,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-828000
Pessimistic,7,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-319760
Pessimistic,7,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-535080
Pessimistic,7,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-966000
Pessimistic,8,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-365440
Pessimistic,8,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-611520
Pessimistic,8,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-1104000
Pessimistic,9,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-411120
Pessimistic,9,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-687960
Pessimistic,9,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-1242000
Pessimistic,10,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-456800
Pessimistic,10,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-764400
Pessimistic,10,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-1380000
Pessimistic,11,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-502480
Pessimistic,11,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-840840
Pessimistic,11,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-1518000
Pessimistic,12,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-548160
Pessimistic,12,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-917280
Pessimistic,12,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-1656000
Pessimistic,13,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-593840
Pessimistic,13,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-993720
Pessimistic,13,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-1794000
Pessimistic,14,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-639520
Pessimistic,14,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-1070160
Pessimistic,14,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-1932000
Pessimistic,15,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-685200
Pessimistic,15,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-1146600
Pessimistic,15,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-2070000
Pessimistic,16,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-730880
Pessimistic,16,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-1223040
Pessimistic,16,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-2208000
Pessimistic,17,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-776560
Pessimistic,17,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-1299480
Pessimistic,17,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-2346000
Pessimistic,18,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-822240
Pessimistic,18,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-1375920
Pessimistic,18,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-2484000
Pessimistic,19,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-867920
Pessimistic,19,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-1452360
Pessimistic,19,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-2622000
Pessimistic,20,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-913600
Pessimistic,20,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-1528800
Pessimistic,20,Ultra-Fast DC,150.0,3100000,120000,258000,-138000,150,48000,100000,15000,75000,5000,15000,-2760000
Pessimistic,21,AC Slow,3.3,65000,4200,49880,-45680,60,2880,15000,1000,20000,3000,8000,-959280
Pessimistic,21,DC Fast,60.0,700000,64800,141240,-76440,108,30240,40000,8000,50000,3000,10000,-1605240
