Year,Vehicle Category,Total EVs Sold,Annual Sessions,Energy Demand (kWh),TAM (₹ Cr),SAM (₹ Cr),SOM (₹ Cr)
2014,2-Wheelers,1679.0,161184.0,1289472.0,1.55,0.46,0.05
2014,3-Wheelers,12.0,1152.0,9216.0,0.01,0.0,0.0
2014,4-Wheelers,498.0,47808.0,382464.0,0.46,0.14,0.01
2014,Bus,3.0,288.0,2304.0,0.0,0.0,0.0
2014,Others,200.0,19200.0,153600.0,0.18,0.06,0.01
2015,2-Wheelers,1447.0,138912.0,1111296.0,1.33,0.4,0.04
2015,3-Wheelers,5440.0,522240.0,4177920.0,5.01,1.5,0.15
2015,4-Wheelers,761.0,73056.0,584448.0,0.7,0.21,0.02
2015,Bus,4.0,384.0,3072.0,0.0,0.0,0.0
2015,Others,153.0,14688.0,117504.0,0.14,0.04,0.0
2016,2-Wheelers,1460.0,140160.0,1121280.0,1.35,0.4,0.04
2016,3-Wheelers,47352.0,4545792.0,36366336.0,43.64,13.09,1.31
2016,4-Wheelers,692.0,66432.0,531456.0,0.64,0.19,0.02
2016,Bus,5.0,480.0,3840.0,0.0,0.0,0.0
2016,Others,346.0,33216.0,265728.0,0.32,0.1,0.01
2017,2-Wheelers,1528.0,146688.0,1173504.0,1.41,0.42,0.04
2017,3-Wheelers,83530.0,8018880.0,64151040.0,76.98,23.09,2.31
2017,4-Wheelers,1108.0,106368.0,850944.0,1.02,0.31,0.03
2017,Bus,17.0,1632.0,13056.0,0.02,0.0,0.0
2017,Others,1237.0,118752.0,950016.0,1.14,0.34,0.03
2018,2-Wheelers,17059.0,1637664.0,13101312.0,15.72,4.72,0.47
2018,3-Wheelers,110451.0,10603296.0,84826368.0,101.79,30.54,3.05
2018,4-Wheelers,1588.0,152448.0,1219584.0,1.46,0.44,0.04
2018,Bus,49.0,4704.0,37632.0,0.05,0.01,0.0
2018,Others,1107.0,106272.0,850176.0,1.02,0.31,0.03
2019,2-Wheelers,30357.0,2914272.0,23314176.0,27.98,8.39,0.84
2019,3-Wheelers,134168.0,12880128.0,103041024.0,123.65,37.09,3.71
2019,4-Wheelers,1666.0,159936.0,1279488.0,1.54,0.46,0.05
2019,Bus,506.0,48576.0,388608.0,0.47,0.14,0.01
2019,Others,122.0,11712.0,93696.0,0.11,0.03,0.0
2020,2-Wheelers,29110.0,2794560.0,22356480.0,26.83,8.05,0.8
2020,3-Wheelers,91236.0,8758656.0,70069248.0,84.08,25.22,2.52
2020,4-Wheelers,4201.0,403296.0,3226368.0,3.87,1.16,0.12
2020,Bus,88.0,8448.0,67584.0,0.08,0.02,0.0
2020,Others,49.0,4704.0,37632.0,0.05,0.01,0.0
2021,2-Wheelers,156196.0,14994816.0,119958528.0,143.95,43.19,4.32
2021,3-Wheelers,159909.0,15351264.0,122810112.0,147.37,44.21,4.42
2021,4-Wheelers,13002.0,1248192.0,9985536.0,11.98,3.59,0.36
2021,Bus,1177.0,112992.0,903936.0,1.08,0.33,0.03
2021,Others,1214.0,116544.0,932352.0,1.12,0.34,0.03
2022,2-Wheelers,631090.0,60584640.0,484677120.0,581.61,174.48,17.45
2022,3-Wheelers,352742.0,33863232.0,270905856.0,325.09,97.53,9.75
2022,4-Wheelers,38170.0,3664320.0,29314560.0,35.18,10.55,1.06
2022,Bus,1988.0,190848.0,1526784.0,1.83,0.55,0.05
2022,Others,733.0,70368.0,562944.0,0.68,0.2,0.02
2023,2-Wheelers,856836.0,82256256.0,658050048.0,789.66,236.9,23.69
2023,3-Wheelers,582548.0,55924608.0,447396864.0,536.88,161.06,16.11
2023,4-Wheelers,80121.0,7691616.0,61532928.0,73.84,22.15,2.22
2023,Bus,2666.0,255936.0,2047488.0,2.46,0.74,0.07
2023,Others,3008.0,288768.0,2310144.0,2.77,0.83,0.08
2024,2-Wheelers,81343.0,7808928.0,62471424.0,74.97,22.49,2.25
2024,3-Wheelers,52922.0,5080512.0,40644096.0,48.77,14.63,1.46
2024,4-Wheelers,7968.0,764928.0,6119424.0,7.34,2.2,0.22
2024,Bus,506.0,48576.0,388608.0,0.47,0.14,0.01
2024,Others,443.0,42528.0,340224.0,0.41,0.12,0.01
