city,Charger_Count,Estimated_EV_Count,EV_to_Charger_Ratio,Rank,City,Population(2011),Population(2001),State or union territory,EVs_per_1000_Chargers,Chargers_per_1000_EVs,Sessions_per_Day,Annual_Revenue,Annual_Profit,Payback_Period_Years,Attractive_Investment
Ahmedabad,12,1956.7739947895577,100.0,5.0,Ahmedabad,5570585.0,"3,520,085",Gujarat,163064.49956579646,6.132542660497973,3.2612899913159294,178555.62702454714,78555.62702454714,1.2729832831549024,No
Alappuzha,3,61.17841950684326,100.0,266.0,Alappuzha,174164.0,"177,029",Kerala,20392.806502281088,49.036899354100306,0.4078561300456217,22330.12311999779,-77669.87688000221,,No
Bengaluru,1,,100.0,,,,,,,0.0,0.0,0.0,-100000.0,,No
Chennai,48,1644.3208942952072,100.0,6.0,Chennai,4681087.0,"4,343,645",Tamil Nadu,34256.68529781682,29.19138239167962,0.6851337059563363,37511.07040110941,-62488.92959889059,,No
Dehradun,4,203.1810328836515,100.0,79.0,Dehradun,578420.0,"426,674",Uttarakhand,50795.258220912874,19.686876984676708,1.0159051644182575,55620.80775189961,-44379.19224810039,,No
Delhi,2447,3866.711533337039,100.0,2.0,Delhi,11007835.0,"9,879,172",Delhi,1580.1845252705511,632.8374844885822,0.03160369050541103,1730.3020551712539,-98269.69794482875,,No
Dhanbad,3,408.34041294962856,100.0,34.0,Dhanbad,1162472.0,"1,065,327",Jharkhand,136113.47098320953,7.346811397700353,2.7222694196641903,149044.2507266144,49044.25072661441,2.038974977055443,No
Dwarka,3,,100.0,,,,,,,0.0,0.0,0.0,-100000.0,,No
Gurgaon,2,308.0011167960563,100.0,56.0,Gurgaon,876824.0,"173,542",Haryana,154000.55839802814,6.493482948389128,3.080011167960563,168630.61144584083,68630.61144584083,1.457075755166687,No
Hardwar,3,,100.0,,,,,,,0.0,0.0,0.0,-100000.0,,No
Kannur,3,,100.0,,,,,,,0.0,0.0,0.0,-100000.0,,No
Kasaragod,3,,100.0,,,,,,,0.0,0.0,0.0,-100000.0,,No
Kochi,4,211.31431602632995,100.0,76.0,Kochi,601574.0,"596,473",Kerala,52828.579006582484,18.929148177076637,1.0565715801316498,57847.29401220782,-42152.70598779218,,No
Kolkata,25,1576.0313845257576,100.0,7.0,Kolkata,4486679.0,"4,572,876",West Bengal,63041.2553810303,15.862628273435513,1.260825107620606,69030.17464222819,-30969.825357771813,,No
Kollam,3,122.60448368050817,100.0,132.0,Kollam,349033.0,"361,560",Kerala,40868.161226836055,24.468925686417975,0.8173632245367212,44750.63654338549,-55249.36345661451,,No
Kottayam,6,60.72668753303812,100.0,267.0,Kottayam,172878.0,"129,894",Kerala,10121.114588839686,98.80334732131938,0.20242229177679374,11082.620474779458,-88917.37952522055,,No
Kozhikode,3,151.7822944675619,100.0,109.0,Kozhikode,432097.0,"436,556",Kerala,50594.09815585397,19.765151202409474,1.0118819631170795,55400.537480660096,-44599.462519339904,,No
Malappuram,3,,100.0,,,,,,,0.0,0.0,0.0,-100000.0,,No
Mapusa,3,,100.0,,,,,,,0.0,0.0,0.0,-100000.0,,No
Nagpur,98,845.0356133467886,100.0,13.0,Nagpur,2405665.0,"2,052,066",Maharashtra,8622.81238108968,115.97144363166908,0.1724562476217936,9441.979557293198,-90558.0204427068,,No
Palakkad,3,,100.0,,,,,,,0.0,0.0,0.0,-100000.0,,No
Panaji,6,,100.0,,,,,,,0.0,0.0,0.0,-100000.0,,No
Raipur,8,354.8122816679038,100.0,45.0,Raipur,1010087.0,"605,747",Chhattisgarh,44351.53520848797,22.547133831990116,0.8870307041697595,48564.931053294335,-51435.068946705665,,No
Thiruvananthapuram,8,264.3264331015852,100.0,65.0,Thiruvananthapuram,752490.0,"368,618",Kerala,33040.80413769815,30.26560721199405,0.6608160827539631,36179.68053077948,-63820.31946922052,,No
Thrissur,3,110.85910109254328,100.0,146.0,Thrissur,315596.0,"317,526",Kerala,36953.033697514424,27.061377644544052,0.7390606739502885,40463.5718987783,-59536.4281012217,,No
