month_year,vehicle_class,ev_sales_quantity
2014-01,Adapted Vehicle,0
2014-01,Agricultural Tractor,7
2014-01,Ambulance,0
2014-01,Animal Ambulance,0
2014-01,Articulated Vehicle,0
2014-01,Breakdown Van,0
2014-01,Bulldozer,0
2014-01,Bus,0
2014-01,Camper Van / Trailer,0
2014-01,Camper Van / Trailer (Private Use),5
2014-01,Cash Van,0
2014-01,Construction Equipment Vehicle,0
2014-01,Construction Equipment Vehicle (Commercial),0
2014-01,Crane Mounted Vehicle,0
2014-01,Dumper,0
2014-01,E-Rickshaw(P),0
2014-01,Earth Moving Equipment,0
2014-01,Educational Institution Bus,0
2014-01,Excavator (Commercial),0
2014-01,Excavator (Nt),0
2014-01,Fire Fighting Vehicle,0
2014-01,Fire Tenders,0
2014-01,Fork Lift,1
2014-01,Goods Carrier,4
2014-01,Harvester,0
2014-01,Hearses,0
2014-01,Library Van,0
2014-01,Luxury Cab,0
2014-01,M-Cycle/Scooter,155
2014-01,M-Cycle/Scooter-With Side Car,0
2014-01,Maxi Cab,0
2014-01,Mobile Clinic,0
2014-01,Mobile Workshop,0
2014-01,Moped,19
2014-01,Motor Cab,1
2014-01,Motor Car,33
2014-01,Motor Cycle/Scooter-Sidecar(T),0
2014-01,Motor Cycle/Scooter-Used For Hire,0
2014-01,Motorised Cycle (Cc > 25Cc),0
2014-01,Omni Bus,0
2014-01,Omni Bus (Private Use),0
2014-01,Power Tiller,0
2014-01,Power Tiller (Commercial),0
2014-01,Private Service Vehicle,0
2014-01,Private Service Vehicle (Individual Use),0
2014-01,Recovery Vehicle,0
2014-01,Road Roller,0
2014-01,Three Wheeler (Goods),0
2014-01,Three Wheeler (Passenger),2
2014-01,Three Wheeler (Personal),0
2014-01,Tow Truck,0
2014-01,Tractor (Commercial),0
2014-01,Tractor-Trolley(Commercial),0
2014-01,Trailer (Agricultural),1
2014-01,Trailer (Commercial),4
2014-01,Trailer For Personal Use,0
2014-01,Vehicle Fitted With Compressor,0
2014-01,Vehicle Fitted With Generator,0
