City,Sessions_per_Day,Revenue_per_Session,Adjusted_Sessions,Annual_Revenue,Annual_Profit,Payback_Period_Years,Attractive_Investment
Ahmedabad,2,120,1.63,71422.25,-28577.75,,No
Alappuzha,2,120,0.2,8932.05,-91067.95,,No
Bengaluru,2,120,0.0,0.0,-100000.0,,No
Chennai,2,120,0.34,15004.43,-84995.57,,No
Dehradun,2,120,0.51,22248.32,-77751.68,,No
Delhi,2,120,0.02,692.12,-99307.88,,No
Dhanbad,2,120,1.36,59617.7,-40382.3,,No
Dwarka,2,120,0.0,0.0,-100000.0,,No
Gurgaon,2,120,1.54,67452.24,-32547.76,,No
Hardwar,2,120,0.0,0.0,-100000.0,,No
Kannur,2,120,0.0,0.0,-100000.0,,No
Kasaragod,2,120,0.0,0.0,-100000.0,,No
Kochi,2,120,0.53,23138.92,-76861.08,,No
Kolkata,2,120,0.63,27612.07,-72387.93,,No
Kollam,2,120,0.41,17900.25,-82099.75,,No
Kottayam,2,120,0.1,4433.05,-95566.95,,No
Kozhikode,2,120,0.51,22160.21,-77839.79,,No
Malappuram,2,120,0.0,0.0,-100000.0,,No
Mapusa,2,120,0.0,0.0,-100000.0,,No
Nagpur,2,120,0.09,3776.79,-96223.21,,No
Palakkad,2,120,0.0,0.0,-100000.0,,No
Panaji,2,120,0.0,0.0,-100000.0,,No
Raipur,2,120,0.44,19425.97,-80574.03,,No
Thiruvananthapuram,2,120,0.33,14471.87,-85528.13,,No
Thrissur,2,120,0.37,16185.43,-83814.57,,No
Ahmedabad,2,150,1.63,89277.81,-10722.19,,No
Alappuzha,2,150,0.2,11165.06,-88834.94,,No
Bengaluru,2,150,0.0,0.0,-100000.0,,No
Chennai,2,150,0.34,18755.54,-81244.46,,No
Dehradun,2,150,0.51,27810.4,-72189.6,,No
Delhi,2,150,0.02,865.15,-99134.85,,No
Dhanbad,2,150,1.36,74522.13,-25477.87,,No
Dwarka,2,150,0.0,0.0,-100000.0,,No
Gurgaon,2,150,1.54,84315.31,-15684.69,,No
Hardwar,2,150,0.0,0.0,-100000.0,,No
Kannur,2,150,0.0,0.0,-100000.0,,No
Kasaragod,2,150,0.0,0.0,-100000.0,,No
Kochi,2,150,0.53,28923.65,-71076.35,,No
Kolkata,2,150,0.63,34515.09,-65484.91,,No
Kollam,2,150,0.41,22375.32,-77624.68,,No
Kottayam,2,150,0.1,5541.31,-94458.69,,No
Kozhikode,2,150,0.51,27700.27,-72299.73,,No
Malappuram,2,150,0.0,0.0,-100000.0,,No
Mapusa,2,150,0.0,0.0,-100000.0,,No
Nagpur,2,150,0.09,4720.99,-95279.01,,No
Palakkad,2,150,0.0,0.0,-100000.0,,No
Panaji,2,150,0.0,0.0,-100000.0,,No
Raipur,2,150,0.44,24282.47,-75717.53,,No
Thiruvananthapuram,2,150,0.33,18089.84,-81910.16,,No
Thrissur,2,150,0.37,20231.79,-79768.21,,No
Ahmedabad,2,180,1.63,107133.38,7133.38,14.02,No
Alappuzha,2,180,0.2,13398.07,-86601.93,,No
Bengaluru,2,180,0.0,0.0,-100000.0,,No
Chennai,2,180,0.34,22506.64,-77493.36,,No
Dehradun,2,180,0.51,33372.48,-66627.52,,No
Delhi,2,180,0.02,1038.18,-98961.82,,No
Dhanbad,2,180,1.36,89426.55,-10573.45,,No
Dwarka,2,180,0.0,0.0,-100000.0,,No
Gurgaon,2,180,1.54,101178.37,1178.37,84.86,No
Hardwar,2,180,0.0,0.0,-100000.0,,No
Kannur,2,180,0.0,0.0,-100000.0,,No
Kasaragod,2,180,0.0,0.0,-100000.0,,No
Kochi,2,180,0.53,34708.38,-65291.62,,No
Kolkata,2,180,0.63,41418.1,-58581.9,,No
Kollam,2,180,0.41,26850.38,-73149.62,,No
Kottayam,2,180,0.1,6649.57,-93350.43,,No
Kozhikode,2,180,0.51,33240.32,-66759.68,,No
Malappuram,2,180,0.0,0.0,-100000.0,,No
Mapusa,2,180,0.0,0.0,-100000.0,,No
Nagpur,2,180,0.09,5665.19,-94334.81,,No
Palakkad,2,180,0.0,0.0,-100000.0,,No
Panaji,2,180,0.0,0.0,-100000.0,,No
Raipur,2,180,0.44,29138.96,-70861.04,,No
Thiruvananthapuram,2,180,0.33,21707.81,-78292.19,,No
Thrissur,2,180,0.37,24278.14,-75721.86,,No
Ahmedabad,2,200,1.63,119037.08,19037.08,5.25,No
Alappuzha,2,200,0.2,14886.75,-85113.25,,No
Bengaluru,2,200,0.0,0.0,-100000.0,,No
Chennai,2,200,0.34,25007.38,-74992.62,,No
Dehradun,2,200,0.51,37080.54,-62919.46,,No
Delhi,2,200,0.02,1153.53,-98846.47,,No
Dhanbad,2,200,1.36,99362.83,-637.17,,No
Dwarka,2,200,0.0,0.0,-100000.0,,No
Gurgaon,2,200,1.54,112420.41,12420.41,8.05,No
Hardwar,2,200,0.0,0.0,-100000.0,,No
Kannur,2,200,0.0,0.0,-100000.0,,No
Kasaragod,2,200,0.0,0.0,-100000.0,,No
Kochi,2,200,0.53,38564.86,-61435.14,,No
Kolkata,2,200,0.63,46020.12,-53979.88,,No
Kollam,2,200,0.41,29833.76,-70166.24,,No
Kottayam,2,200,0.1,7388.41,-92611.59,,No
Kozhikode,2,200,0.51,36933.69,-63066.31,,No
Malappuram,2,200,0.0,0.0,-100000.0,,No
Mapusa,2,200,0.0,0.0,-100000.0,,No
Nagpur,2,200,0.09,6294.65,-93705.35,,No
Palakkad,2,200,0.0,0.0,-100000.0,,No
Panaji,2,200,0.0,0.0,-100000.0,,No
Raipur,2,200,0.44,32376.62,-67623.38,,No
Thiruvananthapuram,2,200,0.33,24119.79,-75880.21,,No
Thrissur,2,200,0.37,26975.71,-73024.29,,No
Ahmedabad,3,120,2.45,107133.38,7133.38,14.02,No
Alappuzha,3,120,0.31,13398.07,-86601.93,,No
Bengaluru,3,120,0.0,0.0,-100000.0,,No
Chennai,3,120,0.51,22506.64,-77493.36,,No
Dehradun,3,120,0.76,33372.48,-66627.52,,No
Delhi,3,120,0.02,1038.18,-98961.82,,No
Dhanbad,3,120,2.04,89426.55,-10573.45,,No
Dwarka,3,120,0.0,0.0,-100000.0,,No
Gurgaon,3,120,2.31,101178.37,1178.37,84.86,No
Hardwar,3,120,0.0,0.0,-100000.0,,No
Kannur,3,120,0.0,0.0,-100000.0,,No
Kasaragod,3,120,0.0,0.0,-100000.0,,No
Kochi,3,120,0.79,34708.38,-65291.62,,No
Kolkata,3,120,0.95,41418.1,-58581.9,,No
Kollam,3,120,0.61,26850.38,-73149.62,,No
Kottayam,3,120,0.15,6649.57,-93350.43,,No
Kozhikode,3,120,0.76,33240.32,-66759.68,,No
Malappuram,3,120,0.0,0.0,-100000.0,,No
Mapusa,3,120,0.0,0.0,-100000.0,,No
Nagpur,3,120,0.13,5665.19,-94334.81,,No
Palakkad,3,120,0.0,0.0,-100000.0,,No
Panaji,3,120,0.0,0.0,-100000.0,,No
Raipur,3,120,0.67,29138.96,-70861.04,,No
Thiruvananthapuram,3,120,0.5,21707.81,-78292.19,,No
Thrissur,3,120,0.55,24278.14,-75721.86,,No
Ahmedabad,3,150,2.45,133916.72,33916.72,2.95,No
Alappuzha,3,150,0.31,16747.59,-83252.41,,No
Bengaluru,3,150,0.0,0.0,-100000.0,,No
Chennai,3,150,0.51,28133.3,-71866.7,,No
Dehradun,3,150,0.76,41715.61,-58284.39,,No
Delhi,3,150,0.02,1297.73,-98702.27,,No
Dhanbad,3,150,2.04,111783.19,11783.19,8.49,No
Dwarka,3,150,0.0,0.0,-100000.0,,No
Gurgaon,3,150,2.31,126472.96,26472.96,3.78,Yes
Hardwar,3,150,0.0,0.0,-100000.0,,No
Kannur,3,150,0.0,0.0,-100000.0,,No
Kasaragod,3,150,0.0,0.0,-100000.0,,No
Kochi,3,150,0.79,43385.47,-56614.53,,No
Kolkata,3,150,0.95,51772.63,-48227.37,,No
Kollam,3,150,0.61,33562.98,-66437.02,,No
Kottayam,3,150,0.15,8311.97,-91688.03,,No
Kozhikode,3,150,0.76,41550.4,-58449.6,,No
Malappuram,3,150,0.0,0.0,-100000.0,,No
Mapusa,3,150,0.0,0.0,-100000.0,,No
Nagpur,3,150,0.13,7081.48,-92918.52,,No
Palakkad,3,150,0.0,0.0,-100000.0,,No
Panaji,3,150,0.0,0.0,-100000.0,,No
Raipur,3,150,0.67,36423.7,-63576.3,,No
Thiruvananthapuram,3,150,0.5,27134.76,-72865.24,,No
Thrissur,3,150,0.55,30347.68,-69652.32,,No
Ahmedabad,3,180,2.45,160700.06,60700.06,1.65,No
Alappuzha,3,180,0.31,20097.11,-79902.89,,No
Bengaluru,3,180,0.0,0.0,-100000.0,,No
Chennai,3,180,0.51,33759.96,-66240.04,,No
Dehradun,3,180,0.76,50058.73,-49941.27,,No
Delhi,3,180,0.02,1557.27,-98442.73,,No
Dhanbad,3,180,2.04,134139.83,34139.83,2.93,No
Dwarka,3,180,0.0,0.0,-100000.0,,No
Gurgaon,3,180,2.31,151767.55,51767.55,1.93,No
Hardwar,3,180,0.0,0.0,-100000.0,,No
Kannur,3,180,0.0,0.0,-100000.0,,No
Kasaragod,3,180,0.0,0.0,-100000.0,,No
Kochi,3,180,0.79,52062.56,-47937.44,,No
Kolkata,3,180,0.95,62127.16,-37872.84,,No
Kollam,3,180,0.61,40275.57,-59724.43,,No
Kottayam,3,180,0.15,9974.36,-90025.64,,No
Kozhikode,3,180,0.76,49860.48,-50139.52,,No
Malappuram,3,180,0.0,0.0,-100000.0,,No
Mapusa,3,180,0.0,0.0,-100000.0,,No
Nagpur,3,180,0.13,8497.78,-91502.22,,No
Palakkad,3,180,0.0,0.0,-100000.0,,No
Panaji,3,180,0.0,0.0,-100000.0,,No
Raipur,3,180,0.67,43708.44,-56291.56,,No
Thiruvananthapuram,3,180,0.5,32561.71,-67438.29,,No
Thrissur,3,180,0.55,36417.21,-63582.79,,No
Ahmedabad,3,200,2.45,178555.63,78555.63,1.27,No
Alappuzha,3,200,0.31,22330.12,-77669.88,,No
Bengaluru,3,200,0.0,0.0,-100000.0,,No
Chennai,3,200,0.51,37511.07,-62488.93,,No
Dehradun,3,200,0.76,55620.81,-44379.19,,No
Delhi,3,200,0.02,1730.3,-98269.7,,No
Dhanbad,3,200,2.04,149044.25,49044.25,2.04,No
Dwarka,3,200,0.0,0.0,-100000.0,,No
Gurgaon,3,200,2.31,168630.61,68630.61,1.46,No
Hardwar,3,200,0.0,0.0,-100000.0,,No
Kannur,3,200,0.0,0.0,-100000.0,,No
Kasaragod,3,200,0.0,0.0,-100000.0,,No
Kochi,3,200,0.79,57847.29,-42152.71,,No
Kolkata,3,200,0.95,69030.17,-30969.83,,No
Kollam,3,200,0.61,44750.64,-55249.36,,No
Kottayam,3,200,0.15,11082.62,-88917.38,,No
Kozhikode,3,200,0.76,55400.54,-44599.46,,No
Malappuram,3,200,0.0,0.0,-100000.0,,No
Mapusa,3,200,0.0,0.0,-100000.0,,No
Nagpur,3,200,0.13,9441.98,-90558.02,,No
Palakkad,3,200,0.0,0.0,-100000.0,,No
Panaji,3,200,0.0,0.0,-100000.0,,No
Raipur,3,200,0.67,48564.93,-51435.07,,No
Thiruvananthapuram,3,200,0.5,36179.68,-63820.32,,No
Thrissur,3,200,0.55,40463.57,-59536.43,,No
Ahmedabad,4,120,3.26,142844.5,42844.5,2.33,No
Alappuzha,4,120,0.41,17864.1,-82135.9,,No
Bengaluru,4,120,0.0,0.0,-100000.0,,No
Chennai,4,120,0.69,30008.86,-69991.14,,No
Dehradun,4,120,1.02,44496.65,-55503.35,,No
Delhi,4,120,0.03,1384.24,-98615.76,,No
Dhanbad,4,120,2.72,119235.4,19235.4,5.2,No
Dwarka,4,120,0.0,0.0,-100000.0,,No
Gurgaon,4,120,3.08,134904.49,34904.49,2.86,No
Hardwar,4,120,0.0,0.0,-100000.0,,No
Kannur,4,120,0.0,0.0,-100000.0,,No
Kasaragod,4,120,0.0,0.0,-100000.0,,No
Kochi,4,120,1.06,46277.84,-53722.16,,No
Kolkata,4,120,1.26,55224.14,-44775.86,,No
Kollam,4,120,0.82,35800.51,-64199.49,,No
Kottayam,4,120,0.2,8866.1,-91133.9,,No
Kozhikode,4,120,1.01,44320.43,-55679.57,,No
