year,Adapted Vehicle,Agricultural Tractor,Ambulance,Animal Ambulance,Armoured/Specialised Vehicle,Articulated Vehicle,Auxiliary Trailer,Breakdown Van,Bulldozer,Bus,Camper Van / Trailer,Camper Van / Trailer (Private Use),Cash Van,Construction Equipment Vehicle,Construction Equipment Vehicle (Commercial),Crane Mounted Vehicle,Dumper,E-Rickshaw With Cart (G),E-Rickshaw(P),Earth Moving Equipment,Educational Institution Bus,Excavator (Commercial),Excavator (Nt),Fire Fighting Vehicle,Fire Tenders,Fork Lift,Goods Carrier,Harvester,Hearses,Library Van,Luxury Cab,M-Cycle/Scooter,M-Cycle/Scooter-With Side Car,Maxi Cab,Mobile Canteen,Mobile Clinic,Mobile Workshop,Modular Hydraulic Trailer,Moped,Motor Cab,Motor Car,Motor Caravan,Motor Cycle/Scooter-Sidecar(T),Motor Cycle/Scooter-Used For Hire,Motor Cycle/Scooter-With Trailer,Motorised Cycle (Cc > 25Cc),Omni Bus,Omni Bus (Private Use),Power Tiller,Power Tiller (Commercial),Private Service Vehicle,Private Service Vehicle (Individual Use),Quadricycle (Commercial),Quadricycle (Private),Recovery Vehicle,Road Roller,Semi-Trailer (Commercial),Snorked Ladders,Three Wheeler (Goods),Three Wheeler (Passenger),Three Wheeler (Personal),Tow Truck,Tower Wagon,Tractor (Commercial),Tractor-Trolley(Commercial),Trailer (Agricultural),Trailer (Commercial),Trailer For Personal Use,Tree Trimming Vehicle,Vehicle Fitted With Compressor,Vehicle Fitted With Generator,Vehicle Fitted With Rig,X-Ray Van
2014,0,28,0,0,0,3,0,0,0,3,0,12,0,2,0,1,0,0,0,1,0,0,0,0,0,32,19,0,0,0,0,1526,4,4,0,0,0,0,149,16,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,0,0,4,0,37,57,0,0,0,0,0,0
2015,3,15,0,0,0,0,0,0,0,3,0,4,0,2,0,1,0,10,5116,0,0,0,0,0,0,23,17,0,0,0,0,1351,2,2,0,0,0,0,93,84,677,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,307,0,0,0,2,0,55,28,1,0,0,0,0,0
2016,4,32,3,0,0,1,0,0,0,5,0,2,0,83,0,12,0,158,45867,1,0,1,1,0,0,38,53,1,0,0,0,1385,0,0,0,0,0,0,75,77,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,1295,5,0,0,2,0,77,16,0,0,0,0,18,0
2017,1,16,0,0,0,0,0,0,0,14,0,0,0,185,0,1,0,1175,81710,0,0,0,0,0,0,39,532,0,0,0,0,1441,2,21,0,1,0,0,74,281,827,0,0,3,0,8,3,0,0,0,0,0,0,0,0,0,0,0,114,518,13,0,0,10,0,67,364,0,0,0,0,0,0
2018,7,12,0,0,0,0,0,0,0,20,0,0,0,197,0,0,0,2737,106841,0,0,0,0,0,0,22,658,0,0,0,7,15157,17,58,0,0,0,0,1229,558,1023,0,0,264,0,392,29,0,0,0,1,5,0,0,0,3,0,0,169,656,48,0,0,0,5,40,98,0,0,0,0,0,1
2019,29,1,0,0,0,0,0,0,0,504,0,0,0,1,0,1,0,4982,127852,2,0,0,0,0,0,11,54,0,0,0,18,25529,5,11,0,0,0,0,2246,686,962,0,2,1445,0,1132,2,0,0,0,2,1,0,0,0,0,0,0,423,882,29,0,0,0,5,0,2,0,0,0,0,0,0
2020,2,1,0,0,0,0,0,0,0,84,0,0,0,1,0,0,0,6074,83218,1,0,0,0,0,0,21,15,0,0,0,14,24807,6,2,0,0,0,0,1167,972,3215,0,1,2095,0,1035,4,0,0,0,0,1,0,0,0,0,0,0,372,1522,50,0,0,0,2,2,0,0,0,0,0,0,0
2021,9,4,0,0,0,0,0,0,0,1171,0,0,0,7,0,0,0,14623,137184,0,0,0,0,0,0,61,1118,0,0,0,19,138200,664,0,0,0,0,0,9296,730,12253,0,8,1816,6,6220,6,0,0,0,0,0,0,0,0,0,0,0,4545,3521,36,0,0,0,0,1,0,0,0,0,0,0,0
2022,23,4,0,0,0,0,0,0,0,1985,0,0,0,6,0,0,0,21909,306081,0,0,5,0,0,0,51,633,0,0,0,61,584895,282,1,0,0,0,0,26564,4936,33173,0,6,4097,1,15252,2,1,0,0,1,1,0,0,0,0,0,0,12697,11948,107,0,0,0,0,1,0,0,0,0,0,0,0
2023,90,8,0,0,0,6,0,0,0,2613,1,0,0,0,0,1,0,35253,473866,0,0,0,0,0,0,12,2814,0,0,0,290,824436,338,10,0,0,0,0,18865,8963,70868,1,2,2005,40,11192,53,0,0,0,17,3,0,0,3,0,0,0,24693,48626,110,0,0,0,0,0,0,0,0,0,0,0,0
2024,7,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,3735,40392,0,0,0,0,0,0,0,409,0,0,0,9,78646,4,0,0,0,0,0,1495,1378,6581,0,0,40,0,1158,17,0,0,0,26,1,0,0,0,0,0,0,1924,6850,21,0,0,0,0,0,0,0,0,0,0,0,0
