State,No. of Operational PCS,zone,Charger_Count,EV_to_Charger_Ratio,EVs_per_1000_Chargers
Andaman & Nicobar,3.0,,,inf,0.0
Uttar Pradesh,582.0,,,inf,0.0
Odisha,198.0,,,inf,0.0
Pondicherry,23.0,,,inf,0.0
Punjab,158.0,,,inf,0.0
Rajasthan,500.0,,,inf,0.0
Sikkim,2.0,,,inf,0.0
Tamil Nadu,643.0,,,inf,0.0
Telangana,481.0,,,inf,0.0
Tripura,18.0,,,inf,0.0
Uttarakhand,76.0,,,inf,0.0
Andhra Pradesh,327.0,,,inf,0.0
West Bengal,318.0,,,inf,0.0
,0.0,Central-Delhi,218.0,0.0,0.0
,0.0,East-Delhi,329.0,0.0,0.0
,0.0,North-Delhi,151.0,0.0,0.0
,0.0,North-East-Delhi,43.0,0.0,0.0
,0.0,North-West-Delhi,297.0,0.0,0.0
,0.0,South-Delhi,367.0,0.0,0.0
,0.0,South-West-Delhi,648.0,0.0,0.0
Nagaland,6.0,,,inf,0.0
Meghalaya,21.0,,,inf,0.0
Manipur,17.0,,,inf,0.0
Maharashtra,3079.0,,,inf,0.0
Arunachal Pradesh,9.0,,,inf,0.0
Assam,86.0,,,inf,0.0
Bihar,124.0,,,inf,0.0
Chandigarh,12.0,,,inf,0.0
Chhattisgarh,149.0,,,inf,0.0
D&D And Dnh,1.0,,,inf,0.0
Delhi,1886.0,,,inf,0.0
Goa,113.0,,,inf,0.0
Gujarat,476.0,,,inf,0.0
Haryana,377.0,,,inf,0.0
Himachal Pradesh,44.0,,,inf,0.0
Jammu And Kashmir,47.0,,,inf,0.0
Jharkhand,135.0,,,inf,0.0
Karnataka,1041.0,,,inf,0.0
Kerala,852.0,,,inf,0.0
Lakshadweep,1.0,,,inf,0.0
Madhya Pradesh,341.0,,,inf,0.0
,0.0,West-Delhi,357.0,0.0,0.0
