ChargerType,Lever,Base_NPV,NPV_up,NPV_down,PctChangeUp,PctChangeDown
AC Slow,Sessions_per_Month,-1008805.5074362388,-905576.7800604,-1112034.2348120776,10.232768022666978,-10.232768022666978
AC Slow,Revenue_per_Session,-1008805.5074362388,-931383.9619043596,-1086227.0529681179,7.674576017000242,-7.6745760170002315
AC Slow,Electricity_Cost_per_kWh,-1008805.5074362388,-1097287.2737583863,-920323.7411140916,-8.77094401942883,8.770944019428807
AC Slow,LandLeaseCost,-1008805.5074362388,-1285311.0271929493,-732299.9876795283,-27.409200060715065,27.409200060715065
AC Slow,MaintenanceCost,-1008805.5074362388,-1027239.208753353,-990371.8061191249,-1.8272800040476849,1.8272800040476618
AC Slow,CapEx,-1008805.5074362388,-1021805.5074362388,-995805.5074362388,-1.2886527585518421,1.2886527585518421
DC Fast,Sessions_per_Month,597732.5727248285,2190404.3665234814,-994939.2210738248,266.4522340715492,-266.45223407154924
DC Fast,Revenue_per_Session,597732.5727248285,1792236.4180738167,-596771.2726241612,199.83917555366165,-199.83917555366187
DC Fast,Electricity_Cost_per_kWh,597732.5727248285,-331325.9736577192,1526791.119107376,-155.4304698750704,155.43046987507037
DC Fast,LandLeaseCost,597732.5727248285,-139615.47995973317,1335080.6254093898,-123.35751577386537,123.35751577386533
DC Fast,MaintenanceCost,597732.5727248285,450262.96218791604,745202.1832617407,-24.6715031547731,24.67150315477306
DC Fast,CapEx,597732.5727248285,457732.57272482844,737732.5727248284,-23.421845552400622,23.421845552400594
Ultra-Fast DC,Sessions_per_Month,-1625303.8946308764,1324088.31610737,-4574696.105369124,181.4671225782108,-181.46712257821085
Ultra-Fast DC,Revenue_per_Session,-1625303.8946308764,586740.2634228049,-3837348.052684562,136.1003419336579,-136.10034193365814
Ultra-Fast DC,Electricity_Cost_per_kWh,-1625303.8946308764,-3100000.0,-150607.78926175373,-90.73356128910542,90.73356128910537
Ultra-Fast DC,LandLeaseCost,-1625303.8946308764,-3468674.026342281,218066.23708052718,-113.41695161138179,113.41695161138172
Ultra-Fast DC,MaintenanceCost,-1625303.8946308764,-1901809.4143875875,-1348798.3748741664,-17.012542741707293,17.01254274170722
Ultra-Fast DC,CapEx,-1625303.8946308764,-2245303.8946308764,-1005303.8946308768,-38.146712257821086,38.14671225782106
